,Weight
1,4.5657203247217456e-06
2,4.565719268259396e-06
3,4.565718211812964e-06
4,4.565717155382428e-06
5,4.565716098967819e-06
6,4.565715042569048e-06
7,4.5657139861862065e-06
8,4.565712929819273e-06
9,4.565711873468203e-06
10,4.565710817133085e-06
11,4.565709760813824e-06
12,4.5657087045104775e-06
13,0.0025321995498324493
14,4.593676172646693e-06
15,4.593676125904475e-06
16,4.593676079169064e-06
17,4.593676032440509e-06
18,4.593675985718801e-06
19,4.5936759390038614e-06
20,4.593675892295797e-06
21,4.5936758455945435e-06
22,4.5936757989001125e-06
23,4.593675752212494e-06
24,4.5936757055317775e-06
25,0.0209263008194018
26,4.59367565885787e-06
27,4.593675462941388e-06
28,4.593675267028755e-06
29,4.593675071119962e-06
30,4.593674875215016e-06
31,4.593674679313886e-06
32,4.59367448341666e-06
33,4.5936742875232565e-06
34,4.593674091633659e-06
35,4.5936738957480085e-06
36,4.593673699866119e-06
37,4.593673503988091e-06
38,4.593673308113907e-06
39,4.593673112243597e-06
40,4.5936729163770755e-06
41,4.593672720514422e-06
42,4.593672524655628e-06
43,4.593672328800665e-06
44,4.593672132949579e-06
45,4.593671937102306e-06
46,4.593671741258904e-06
47,4.5936715454192984e-06
48,4.593671349583603e-06
49,0.028536759126869385
50,4.593671153751708e-06
51,4.593670957923678e-06
52,4.593670762095444e-06
53,4.59367056626704e-06
54,4.593670370438443e-06
55,4.593670174609604e-06
56,4.5936699787806e-06
57,4.5936697829514234e-06
58,4.593669587122043e-06
59,0.018018304084384276
60,0.10122350037829954
61,4.5931390619164975e-06
62,4.593138928315192e-06
63,4.59313879471596e-06
64,4.5931386611187435e-06
65,4.593138527523605e-06
66,4.5931383939304665e-06
67,4.593138260339354e-06
68,4.593138126750276e-06
69,0.12407204262049466
70,4.593137993163217e-06
71,4.593137859578221e-06
72,4.593137725995244e-06
73,4.593137592414318e-06
74,4.593137458835402e-06
75,4.593137325258513e-06
76,4.5931371916836784e-06
77,4.593137058110875e-06
78,4.59313692454009e-06
79,4.5931367909713706e-06
80,4.593136657404626e-06
81,4.593136523839946e-06
82,4.593136390277294e-06
83,4.593136256716634e-06
84,4.59313612315803e-06
85,4.59313598960146e-06
86,4.593135856046989e-06
87,4.593135722494458e-06
88,4.593135588943984e-06
89,4.593135455395528e-06
90,4.5931353218491385e-06
91,4.593135188304774e-06
92,4.593135054762365e-06
93,4.593134921222076e-06
94,4.593134787683811e-06
95,4.593134654147497e-06
96,4.593134520613304e-06
97,4.593134387081069e-06
98,4.59313425355097e-06
99,4.593134120022788e-06
100,4.593133986496679e-06
101,4.593133852972589e-06
102,4.5931337194505505e-06
103,4.5931335859304795e-06
104,4.593133452412564e-06
105,4.593133318896568e-06
106,4.593133185382644e-06
107,4.5931330518707235e-06
108,0.02160676639696539
109,4.593132918360853e-06
110,4.593132784853014e-06
111,4.593132651351925e-06
112,4.593132517857547e-06
113,4.593132384369955e-06
114,4.593132250889107e-06
115,4.5931321174149975e-06
116,4.593131983947625e-06
117,4.593131850487003e-06
118,4.593131717033168e-06
119,4.599601929257442e-06
120,4.593131450145676e-06
121,4.593131316712041e-06
122,4.593131183285179e-06
123,4.5931310498650345e-06
124,4.59313091645171e-06
125,4.5931307830450466e-06
126,4.593130649645178e-06
127,4.593130516252058e-06
128,4.5931303828656766e-06
129,4.593130249486053e-06
130,4.593130116113131e-06
131,4.593129982747037e-06
132,4.5931298493876805e-06
133,4.593129716034978e-06
134,4.593129582689124e-06
135,4.593129449349965e-06
136,4.593129316017588e-06
137,4.593129182691936e-06
138,4.59312904937305e-06
139,4.5931289160609e-06
140,4.593128782755517e-06
141,4.59312864945687e-06
142,4.593128516164965e-06
143,4.593128382879823e-06
144,4.593128249601429e-06
145,4.593128116329753e-06
146,4.593127983064853e-06
147,4.593127849806785e-06
148,4.593127716555332e-06
149,4.593127583310681e-06
150,4.593127450072777e-06
151,4.593127316841604e-06
152,4.593127183617208e-06
153,4.593127050399591e-06
154,0.013942557350097057
155,4.603928015323403e-06
156,4.603927990130177e-06
157,4.60392796494486e-06
158,4.603927939767389e-06
159,4.6039279145976846e-06
160,4.603927889435857e-06
161,4.603927864281851e-06
162,4.6039278391356624e-06
163,4.603927813997292e-06
164,4.603927788866765e-06
165,4.603927763744068e-06
166,0.024089870384818943
167,4.6064384420387695e-06
168,4.606437633846152e-06
169,4.60643682565495e-06
170,4.606436017465191e-06
171,4.60643520927682e-06
172,4.606434401089832e-06
173,4.606433592904264e-06
174,4.606432784720072e-06
175,4.606431976537369e-06
176,4.60643116835599e-06
177,4.606430360176058e-06
178,4.6064295519975115e-06
179,4.606428743820391e-06
180,4.606427935644664e-06
181,4.606427127470373e-06
182,4.606426319297455e-06
