,Weight
1,4.2614538825233274e-06
2,4.261448709308697e-06
3,4.26144353609368e-06
4,4.261438362878245e-06
5,4.2614331896623946e-06
6,4.261428016446104e-06
7,4.2614228432294286e-06
8,4.261417670012321e-06
9,4.2614124967948184e-06
10,4.261407323576884e-06
11,4.261402150358521e-06
12,4.261396977139789e-06
13,4.261391803920581e-06
14,4.261386630700982e-06
15,4.261381457481023e-06
16,4.261376284259506e-06
17,4.261371111036486e-06
18,4.261365937812011e-06
19,4.261360764586034e-06
20,4.261355591358577e-06
21,4.261350418129626e-06
22,4.261345244899186e-06
23,4.261340071667219e-06
24,4.261334898433797e-06
25,4.261329725198895e-06
26,4.261324551962429e-06
27,0.003546530779991038
28,4.296780953547131e-06
29,4.296776134923441e-06
30,4.2967713163018485e-06
31,4.2967664976823376e-06
32,4.2967616790648485e-06
33,4.29675686044943e-06
34,4.296752041836037e-06
35,4.296747223224733e-06
36,4.296742404615492e-06
37,4.296737586008263e-06
38,4.29673276740312e-06
39,4.296727948800064e-06
40,4.296723130199035e-06
41,4.296718311600045e-06
42,4.296713493003125e-06
43,4.296708674408264e-06
44,4.2967038558154835e-06
45,4.296699037224728e-06
46,4.296694218636058e-06
47,4.296689400049454e-06
48,4.296684581464884e-06
49,4.296679762882401e-06
50,4.296674944301937e-06
51,4.296670125723555e-06
52,4.296665307147249e-06
53,4.296660488572978e-06
54,4.296655670000802e-06
55,4.296650851430645e-06
56,4.296646032862576e-06
57,4.296641214296571e-06
58,4.296636395732642e-06
59,4.296631577170738e-06
60,4.296626758610892e-06
61,4.276418183656431e-06
62,4.276413678686741e-06
63,4.276409173720054e-06
64,4.276404668756338e-06
65,4.276400163795628e-06
66,4.276395658837912e-06
67,4.27639115388314e-06
68,4.276386648931412e-06
69,0.13063491240997654
70,4.276382143982597e-06
71,4.276378351306086e-06
72,4.276374558643478e-06
73,4.276370765994812e-06
74,4.276366973360014e-06
75,4.276363180739229e-06
76,4.276359388132354e-06
77,4.2763555955393595e-06
78,4.276351802960362e-06
79,4.276348010395252e-06
80,4.276344217844084e-06
81,4.276340425306854e-06
82,4.27633663278356e-06
83,4.27633284027421e-06
84,4.276329047778797e-06
85,4.276325255297297e-06
86,4.276321462829739e-06
87,4.276317670376107e-06
88,4.27631387793643e-06
89,4.276310085510672e-06
90,4.276306293098868e-06
91,4.2763025007009725e-06
92,4.276298708317023e-06
93,4.27629491594702e-06
94,4.276291123590954e-06
95,4.276287331248835e-06
96,4.276283538920645e-06
97,4.276279746606373e-06
98,4.2762759543060625e-06
99,4.276272162019697e-06
100,4.276268369747268e-06
101,4.276264577488778e-06
102,4.276260785244175e-06
103,4.2762569930135595e-06
104,4.276253200796914e-06
105,0.08365498783697371
106,4.276249408594133e-06
107,4.276246119343692e-06
108,4.276242830111438e-06
109,4.276239540897327e-06
110,4.276236251701394e-06
111,4.2762329625236135e-06
112,4.276229673364015e-06
113,4.2762263842225924e-06
114,4.276223095099301e-06
115,4.276219805994181e-06
116,4.2762165169072435e-06
117,4.276213227838492e-06
118,4.276209938787873e-06
119,4.276206649755438e-06
120,4.276203360741184e-06
121,4.2762000717450855e-06
122,4.276196782767158e-06
123,4.2761934938073976e-06
124,4.276190204865827e-06
125,4.276186915942423e-06
126,4.276183627037192e-06
127,4.276180338150105e-06
128,4.276177049281198e-06
129,4.276173760430485e-06
130,4.2761704715979425e-06
131,4.276167182783574e-06
132,4.276163893987375e-06
133,4.276160605209328e-06
134,4.276157316449495e-06
135,4.276154027707795e-06
136,4.276150738984271e-06
137,4.276147450278954e-06
138,4.2761441615918135e-06
139,4.2761408729228175e-06
140,4.2761375842720225e-06
141,4.2761342956393845e-06
142,4.276131007024945e-06
143,4.2761277184286635e-06
144,4.2761244298505795e-06
145,4.276121141290658e-06
146,4.276117852748906e-06
147,4.276114564225362e-06
148,4.2761112757199856e-06
149,4.276107987232785e-06
150,4.276104698763768e-06
151,4.276101410312942e-06
152,4.2760981218802865e-06
153,4.276094833465804e-06
154,4.276091545069529e-06
155,4.276088256691401e-06
156,4.276084968331486e-06
157,4.276081679989722e-06
158,4.27607839166617e-06
159,0.08130809970429116
160,4.2760751033607924e-06
161,4.2760718150735635e-06
162,4.276068526805942e-06
163,4.276065238557833e-06
164,4.276061950329295e-06
165,4.276058662120289e-06
166,4.276055373930853e-06
167,4.276052085760952e-06
168,4.276048797610587e-06
169,0.12940102494196903
170,4.2220072287342445e-06
171,4.2220036232897536e-06
172,4.222000017863564e-06
173,4.221996412455607e-06
174,4.2219928070659824e-06
175,4.2219892016946006e-06
176,4.221985596341508e-06
177,4.221981991006701e-06
178,4.2219783856901525e-06
179,4.221974780391909e-06
180,4.221971175111929e-06
181,4.221967569850216e-06
182,4.22196396460682e-06
183,4.221960359381674e-06
184,4.221956754174806e-06
185,4.2219531489862295e-06
186,4.2219495438159375e-06
187,4.221945938663916e-06
188,4.2219426601145616e-06
189,4.221939381585677e-06
190,4.221936103077203e-06
191,4.221932824589129e-06
192,4.221929546121533e-06
193,4.221926267674324e-06
194,4.221922989247557e-06
195,4.221919710841235e-06
196,4.2219164324553646e-06
197,4.221913154089879e-06
198,4.2219098757448415e-06
199,4.221906597420226e-06
200,4.221903319116045e-06
201,4.221900040832319e-06
202,4.221896762569037e-06
203,4.221893484326149e-06
204,4.22189020610375e-06
205,4.221886927901725e-06
206,4.221883649720184e-06
207,4.221880371559035e-06
208,4.221877093418368e-06
209,4.2218738152980884e-06
210,4.22187053719827e-06
211,4.2218672591188905e-06
212,4.22186398105996e-06
213,4.221860703021445e-06
214,4.221857425003382e-06
215,4.221854147005751e-06
216,4.221850869028559e-06
217,4.221847591071801e-06
218,4.316520204428257e-06
219,4.2200130903105605e-06
220,4.220010499790018e-06
221,4.220007909299703e-06
222,4.220005318839621e-06
223,4.220002728409765e-06
224,4.220000138010154e-06
225,4.2199975476407355e-06
226,4.219994957301587e-06
227,4.219992366992653e-06
228,4.2199897767139535e-06
229,4.2199871864654735e-06
230,4.21998459624723e-06
231,4.219982006059207e-06
232,4.219979415901447e-06
233,4.219976825773897e-06
234,4.2199742356765964e-06
235,4.2199716456095255e-06
236,4.219969055572673e-06
237,4.219966465566048e-06
238,4.219963875589705e-06
239,4.219961285643578e-06
240,4.219958695727677e-06
241,4.2199561058420166e-06
242,4.219953515986573e-06
243,4.219950926161406e-06
244,4.219948336366469e-06
245,4.219945746601764e-06
246,4.21994315686728e-06
247,4.2199405671630914e-06
248,4.219937977489083e-06
249,4.2199353878453505e-06
250,4.219932798231829e-06
251,4.21993020864856e-06
252,0.2746257231192435
253,4.333435624103228e-06
254,4.333433284061673e-06
255,4.333430944050857e-06
256,4.333428604070794e-06
257,4.3334262641214775e-06
258,4.333423924202935e-06
259,4.333421584315166e-06
260,4.333419244458113e-06
261,4.333416904631794e-06
262,4.333414564836286e-06
263,4.333412225071491e-06
264,4.333409885337486e-06
265,4.333407545634239e-06
266,4.333405205961732e-06
267,4.333402866319972e-06
268,4.333400526708965e-06
269,4.333398187128736e-06
270,4.333395847579269e-06
271,4.333393508060541e-06
272,4.333391168572634e-06
273,4.333388829115422e-06
274,4.333386489689001e-06
275,4.3333841502933235e-06
276,4.333381810928422e-06
277,4.333379471594279e-06
278,4.333377132290895e-06
279,4.333374793018283e-06
280,4.333372453776405e-06
281,4.333370114565319e-06
282,4.333367775385004e-06
283,4.333365436235461e-06
284,4.3333630971166535e-06
285,4.333360758028625e-06
286,4.333358418971367e-06
287,4.333356079944842e-06
288,4.333353740949138e-06
289,0.0378119433816122
290,4.333351401984174e-06
291,4.333349507900546e-06
292,4.333347613856586e-06
293,4.333345719852301e-06
294,4.333343825887696e-06
295,4.3333419319627066e-06
296,4.333340038077441e-06
297,4.333338144231814e-06
298,4.333336250425844e-06
299,4.333334356659593e-06
300,4.333332462932976e-06
301,4.333330569246011e-06
302,4.333328675598757e-06
303,4.333326781991187e-06
304,4.33332488842324e-06
305,4.3333229948949994e-06
306,4.31445189998971e-06
307,4.33202252171e-06
308,4.3320210175102184e-06
309,4.332019513357292e-06
310,4.332018009251356e-06
311,4.332016505192303e-06
312,4.332015001180188e-06
313,4.33201349721496e-06
314,4.332011993296672e-06
315,4.3320104894252915e-06
316,4.332008985600853e-06
317,4.332007481823328e-06
318,4.332005978092726e-06
319,4.332004474409046e-06
320,4.332002970772274e-06
321,4.332001467182461e-06
322,4.3319999636395685e-06
323,4.33199846014359e-06
324,4.3319969566945075e-06
325,4.3319954532923845e-06
326,4.331993949937212e-06
327,4.331992446628924e-06
328,4.33199094336763e-06
329,4.3319894401531935e-06
330,4.331987936985727e-06
331,4.331986433865175e-06
332,4.331984930791615e-06
333,4.3319834277649e-06
334,4.331981924785192e-06
335,4.33198042185238e-06
336,4.331978918966524e-06
337,4.331977416127587e-06
338,4.331975913335586e-06
339,4.331974410590566e-06
340,4.331972907892423e-06
341,4.331971405241266e-06
342,4.331969902637047e-06
343,4.331968400079724e-06
344,4.331966897569403e-06
345,4.33196539510598e-06
346,4.331963892689549e-06
347,4.331962390320037e-06
348,4.3319608879974705e-06
349,4.314451146519853e-06
350,4.279838937846953e-06
351,4.279837202821882e-06
352,4.2798354678423185e-06
353,4.279833732908303e-06
354,4.2798319980198124e-06
355,4.27983026317684e-06
356,4.27982852837945e-06
357,4.279826793627576e-06
358,4.314450846013594e-06
359,4.279825058921223e-06
360,4.27982332432332e-06
361,4.279821589770937e-06
362,4.27981985526411e-06
363,0.020454307594644332
364,4.2798181208028235e-06
365,4.2798176031379475e-06
366,4.27981708552737e-06
367,4.279816567971086e-06
368,4.279816050469088e-06
369,4.27981553302136e-06
370,4.279815015627935e-06
371,4.279814498288789e-06
372,4.279813981003938e-06
373,4.279813463773391e-06
374,4.279812946597086e-06
375,4.279812429475094e-06
376,4.279811912407389e-06
377,4.279811395394013e-06
378,4.279810878434854e-06
379,4.27981036153007e-06
380,0.007752206380624923
381,4.290022686232277e-06
382,4.290022271564483e-06
383,4.2900218569520135e-06
384,4.290021442394784e-06
385,4.290021027892952e-06
386,4.290020613446393e-06
387,4.29002019905517e-06
388,4.290019784719232e-06
389,4.29001937043865e-06
390,4.290018956213391e-06
391,4.290018542043444e-06
392,4.2900181279288095e-06
393,4.2900177138695104e-06
394,4.2900172998655455e-06
395,4.290016885916859e-06
396,4.290016472023544e-06
397,4.290016058185543e-06
398,4.29001564440288e-06
399,4.290015230675515e-06
400,4.290014817003505e-06
401,4.290014403386829e-06
402,4.290013989825458e-06
403,4.290013576319449e-06
404,4.290013162868733e-06
405,4.290012749473393e-06
406,4.290012336133343e-06
407,4.2900119228486375e-06
408,4.2900115096192825e-06
409,4.290011096445241e-06
410,4.290010683326568e-06
411,4.2900102702631916e-06
412,4.290009857255205e-06
413,4.290009444302491e-06
414,4.290009031405168e-06
415,4.29000861856315e-06
416,4.290008205776518e-06
417,0.03594908488161659
418,4.3129092037485385e-06
419,4.312909020086684e-06
420,4.312908836482442e-06
421,4.312908652935816e-06
422,4.3129084694468505e-06
423,4.312908286015531e-06
424,4.312908102641783e-06
425,4.312907919325742e-06
426,4.312907736067293e-06
427,4.312907552866509e-06
428,4.312907369723381e-06
429,4.312907186637842e-06
430,4.312907003609961e-06
431,4.312906820639725e-06
432,4.312906637727149e-06
433,4.312906454872184e-06
434,4.3129062720748825e-06
435,4.312906089335205e-06
436,4.312905906653191e-06
437,4.3129057240288125e-06
438,4.312905541462082e-06
439,4.312905358952998e-06
440,4.312905176501586e-06
441,4.312904994107774e-06
442,0.004024186838015535
443,4.312904811771654e-06
444,4.312904795256541e-06
445,4.312904778799586e-06
446,4.312904762400837e-06
447,4.312904746060206e-06
