,Weight
1,3.1216566511008834e-06
2,3.121656619052356e-06
3,3.1216565870047513e-06
4,3.1216565549580797e-06
5,3.121656522912302e-06
6,3.1216564908674977e-06
7,3.121656458823603e-06
8,3.121656426780643e-06
9,3.1216563947386145e-06
10,3.1216563626974994e-06
11,3.1216563306573174e-06
12,3.121656298618074e-06
13,0.0005314485697040334
14,3.093081341722198e-06
15,3.0930798663091582e-06
16,3.0930783909006783e-06
17,3.0930769154967415e-06
18,3.0930754400973177e-06
19,3.0930739647024542e-06
20,3.0930724893121254e-06
21,3.0930710139263354e-06
22,3.093069538545089e-06
23,3.0930680631683685e-06
24,3.0930665877962107e-06
25,3.0930651124285755e-06
26,3.0930636370655013e-06
27,0.018235432332798753
28,3.0930621617069726e-06
29,3.0930606864232865e-06
30,3.093059211144165e-06
31,3.0930577358695744e-06
32,3.0930562605995526e-06
33,3.093054785334047e-06
34,3.0930533100730756e-06
35,3.093051834816696e-06
36,3.093050359564797e-06
37,3.0930488843174838e-06
38,3.093047409074678e-06
39,3.0930459338364628e-06
40,3.0930444586027626e-06
41,3.0930429833736013e-06
42,3.0930415081489826e-06
43,3.0930400329289146e-06
44,3.093038557713407e-06
45,3.0930370825024167e-06
46,3.0930356072960083e-06
47,3.093034132094079e-06
48,3.093032656896748e-06
49,0.023055452379046642
50,3.0740326022803294e-06
51,3.074030998001852e-06
52,3.0740293937272573e-06
53,3.0740277894565106e-06
54,3.0740261851896216e-06
55,3.0740245809265998e-06
56,3.0740229766674485e-06
57,3.0740213724121634e-06
58,3.074019768160729e-06
59,3.0740181639131604e-06
60,0.09163172602871365
61,3.074016559669471e-06
62,3.0740152000694467e-06
63,3.074013840475484e-06
64,3.0740124808876673e-06
65,3.0740111213059095e-06
66,3.074009761730257e-06
67,3.0740084021606833e-06
68,3.0740070425971943e-06
69,0.07875934665206805
70,3.074005683039825e-06
71,3.074004022723682e-06
72,3.0740023624076245e-06
73,3.0740007020916535e-06
74,3.073999041775697e-06
75,3.073997381459869e-06
76,3.0739957211441398e-06
77,3.073994060828457e-06
78,3.0739924005128578e-06
79,3.073990740197306e-06
80,3.073989079881849e-06
81,3.0739874195664837e-06
82,3.073985759251183e-06
83,3.07398409893597e-06
84,3.073982438620806e-06
85,3.073980778305758e-06
86,3.0739791179907644e-06
87,3.0739774576758544e-06
88,3.073975797361017e-06
89,3.0739741370462436e-06
90,3.0739724767315534e-06
91,3.073970816416966e-06
92,3.0739691561024347e-06
93,3.0739674957879927e-06
94,3.0739658354736337e-06
95,3.0739641751593204e-06
96,3.073962514845115e-06
97,3.0739608545309743e-06
98,3.0739591942169282e-06
99,3.0739575339029504e-06
100,3.0739558735890462e-06
101,3.0739542132752382e-06
102,3.073952552961465e-06
103,3.0739508926477997e-06
104,3.073949232334223e-06
105,3.073947572020712e-06
106,3.0739459117072824e-06
107,3.073944251393942e-06
108,3.07394259108065e-06
109,3.073940930767466e-06
110,3.073939270454336e-06
111,3.0739376101410676e-06
112,3.0739359498275666e-06
113,3.073934289513946e-06
114,3.0739326292001086e-06
115,3.0739309688861235e-06
116,3.0739293085719517e-06
117,3.073927648257594e-06
118,3.073925987943067e-06
119,0.03522105038772853
120,3.0978545712936503e-06
121,3.0978531502811816e-06
122,3.0978517292679603e-06
123,3.097850308253898e-06
124,3.097848887239055e-06
125,3.0978474662234077e-06
126,3.0978460452068974e-06
127,3.097844624189629e-06
128,3.0978432031715347e-06
129,3.0978417821526548e-06
130,3.0978403611329596e-06
131,3.0978389401124513e-06
132,3.0978375190911353e-06
133,3.09783609806904e-06
134,3.0978346770461257e-06
135,3.097833256022393e-06
136,3.097831834997844e-06
137,3.097830413972525e-06
138,3.0978289929463776e-06
139,3.097827571919444e-06
140,3.097826150891688e-06
141,3.0978247298631275e-06
142,3.0978233088337642e-06
143,3.0978218878035968e-06
144,3.0978204667726094e-06
145,3.0978190457408393e-06
146,3.0978176247082493e-06
147,3.097816203674867e-06
148,3.097814782640677e-06
149,3.0978133616056712e-06
150,3.0978119405698722e-06
151,3.0978105195332614e-06
152,3.0978090984958463e-06
153,3.0978076774576244e-06
154,3.0978062564185986e-06
155,3.097804835378774e-06
156,3.09780341433814e-06
157,3.097801993296706e-06
158,3.0978005722544662e-06
159,3.0977991512114006e-06
160,3.097797730167556e-06
161,3.097796309122901e-06
162,3.097794888077438e-06
163,3.0977934670311775e-06
164,3.097792045984098e-06
165,3.0977906249362277e-06
166,3.0977892038875602e-06
167,3.097787782838068e-06
168,3.0977863617877675e-06
169,3.1137980708409073e-06
170,3.090340250536076e-06
171,3.0903387703981344e-06
172,3.090337290258632e-06
173,3.090335810117521e-06
174,3.090334329974883e-06
175,3.090332849830649e-06
176,3.090331369684846e-06
177,3.0903298895374866e-06
178,3.090328409388544e-06
179,3.0903269292380417e-06
180,3.09032544908594e-06
181,3.0903239689322953e-06
182,3.0903224887770483e-06
183,3.0903210086202677e-06
184,3.0903195284618866e-06
185,3.090318048301949e-06
186,3.0903165681404434e-06
187,3.0903150879773588e-06
188,3.09031360781271e-06
189,3.090312127646494e-06
190,3.090310647478681e-06
191,3.0903091673093053e-06
192,3.0903076871383682e-06
