,Weight
1,5.10077672193422e-06
2,5.100776705824465e-06
3,5.100776689723235e-06
4,5.100776673630671e-06
5,5.1007766575466554e-06
6,5.100776641471276e-06
7,5.10077662540445e-06
8,5.100776609346241e-06
9,5.100776593296611e-06
10,5.100776577255569e-06
11,5.1007765612231436e-06
12,5.100776545199294e-06
13,5.100776529184031e-06
14,5.10077651317739e-06
15,5.100776497179307e-06
16,5.100776481185422e-06
17,5.100776465195827e-06
18,5.100776449210391e-06
19,5.100776433229149e-06
20,5.100776417252164e-06
21,5.100776401279372e-06
22,5.100776385310803e-06
23,5.100776369346447e-06
24,5.100776353386286e-06
25,5.1007763374303634e-06
26,5.1007763214786205e-06
27,0.02702430504155741
28,5.124758102168404e-06
29,5.1247578890455285e-06
30,5.12475767597034e-06
31,5.124757462942804e-06
32,5.1247572499630365e-06
33,5.12475703703089e-06
34,5.124756824146445e-06
35,5.124756611309736e-06
36,5.124756398520675e-06
37,5.124756185779333e-06
38,5.124755973085672e-06
39,5.124755760439684e-06
40,5.124755547841467e-06
41,5.124755335290909e-06
42,5.124755122788034e-06
43,5.1247549103328845e-06
44,5.124754697925468e-06
45,0.02427335402455191
46,5.145985690299381e-06
47,5.1459807075077505e-06
48,5.14597572467351e-06
49,0.07774456621653345
50,5.121992585481025e-06
51,5.121986711585496e-06
52,5.1219808376833964e-06
53,5.121974963774792e-06
54,5.121969089859675e-06
55,5.121963215938001e-06
56,5.121957342009841e-06
57,5.121951468075105e-06
58,5.121945594133828e-06
59,0.00481676233019272
60,0.08292770441891464
61,5.121939720186043e-06
62,5.121933846283971e-06
63,5.121927972368438e-06
64,5.121922098439474e-06
65,5.121916224497073e-06
66,5.121910350541253e-06
67,5.1219044765720485e-06
68,5.121898602589366e-06
69,0.19579076222826133
70,5.121892728593311e-06
71,5.121888183164345e-06
72,5.121883637703527e-06
73,5.121879092210799e-06
74,5.121874546686257e-06
75,5.121870001129784e-06
76,5.121865455541467e-06
77,5.121860909921297e-06
78,5.121856364269213e-06
79,5.12185181858526e-06
80,5.121847272869422e-06
81,5.1218427271216995e-06
82,5.121838181342137e-06
83,5.121833635530664e-06
84,5.121829089687349e-06
85,5.1218245438120975e-06
86,5.121819997905016e-06
87,5.121815451966026e-06
88,5.121810905995199e-06
89,5.121806359992474e-06
90,5.121801813957843e-06
91,5.121797267891329e-06
92,5.121792721792981e-06
93,5.1217881756627396e-06
