,Weight
1,4.010762009424469e-06
2,4.010761824493886e-06
3,4.010761639561937e-06
4,4.010761454628549e-06
5,4.010761269693819e-06
6,4.010761084757692e-06
7,4.010760899820189e-06
8,4.010760714881256e-06
9,4.010760529940966e-06
10,4.010760344999293e-06
11,4.010760160056231e-06
12,4.010759975111774e-06
13,4.010759790165944e-06
14,4.01075960521872e-06
15,4.010759420270085e-06
16,4.010759235320095e-06
17,4.010759050368694e-06
18,4.0107588654159296e-06
19,4.010758680461759e-06
20,4.010758495506212e-06
21,4.01075831054929e-06
22,4.010758125590963e-06
23,4.010757940631234e-06
24,4.010757755670145e-06
25,4.01075757070765e-06
26,4.010757385743791e-06
27,4.010757200778513e-06
28,4.0107570158118635e-06
29,4.01075683084382e-06
30,4.01075664587441e-06
31,4.010756460903591e-06
32,4.010756275931381e-06
33,4.0107560909577964e-06
34,4.010755905982816e-06
35,4.010755721006449e-06
36,4.010755536028692e-06
37,4.010755351049562e-06
38,4.010755166069037e-06
39,4.01075498108712e-06
40,4.010754796103823e-06
41,4.010754611119132e-06
42,4.01075442613307e-06
43,4.010754241145572e-06
44,4.010754056156738e-06
45,4.0107538711664935e-06
46,4.010753686174867e-06
47,4.0107535011818135e-06
48,4.010753316187438e-06
49,4.0107531311916295e-06
50,4.010752946194442e-06
51,4.01075276119589e-06
52,4.010752576195923e-06
53,4.010752391194583e-06
54,0.18791196733129353
55,4.033870258261684e-06
56,4.033870087700732e-06
57,4.0338699171409044e-06
58,4.0338697465821376e-06
59,4.033869576024414e-06
60,0.01268079555793225
61,4.010752206191834e-06
62,4.0107520463169425e-06
63,4.0107518864456375e-06
64,4.010751726577949e-06
65,4.0107515667138655e-06
66,4.010751406853397e-06
67,4.0107512469965226e-06
68,4.010751087143279e-06
69,0.037732533714506994
70,4.010750927293609e-06
71,4.010750767447579e-06
72,4.010750607614422e-06
73,4.010750447794196e-06
74,4.010750287986833e-06
75,4.010750128192408e-06
76,4.01074996841089e-06
77,4.010749808642253e-06
78,4.0107496488865454e-06
79,4.010749489143718e-06
80,4.0107493294138595e-06
81,4.0107491696968425e-06
82,4.010749009992719e-06
83,4.010748850301538e-06
84,4.010748690623257e-06
85,4.010748530957867e-06
86,4.010748371305393e-06
87,4.010748211665816e-06
88,4.010748052039164e-06
89,4.010747892425419e-06
90,4.0107477328245556e-06
91,4.010747573236638e-06
92,4.010747413661592e-06
93,4.010747254099444e-06
94,4.010747094550208e-06
95,4.010746935013875e-06
96,4.010746775490489e-06
97,4.010746615979989e-06
98,4.010746456482385e-06
99,4.010746296997696e-06
100,4.010746137525922e-06
101,4.010745978067046e-06
102,4.0107458186210864e-06
103,4.010745659188032e-06
104,4.010745499767877e-06
105,4.010745340360644e-06
106,4.010745180966295e-06
107,4.010745021584882e-06
108,4.010744862216362e-06
109,4.010744702860765e-06
110,4.01074454351805e-06
111,4.010744384188272e-06
112,4.010744224871405e-06
113,4.010744065567434e-06
114,4.010743906276364e-06
115,4.01074374699823e-06
116,4.010743587732996e-06
117,4.010743428480655e-06
118,4.0107432692412466e-06
119,0.02044570966157909
120,4.010743110014725e-06
121,4.010742950801136e-06
122,4.0107427916004535e-06
123,4.01074263241266e-06
124,4.010742473237798e-06
125,4.010742314075819e-06
126,4.010742154926796e-06
127,4.01074199579068e-06
128,4.010741836667452e-06
129,4.010741677557134e-06
130,4.010741518459714e-06
131,4.010741359375216e-06
132,4.010741200303643e-06
133,4.010741041244965e-06
134,4.010740882199229e-06
