,Weight
1,3.786208588870721e-06
2,3.7862083986054117e-06
3,3.7862082083405983e-06
4,3.7862080180762867e-06
5,3.7862078278124503e-06
6,3.786207637549058e-06
7,3.7862074472862004e-06
8,3.786207257023794e-06
9,3.7862070667619018e-06
10,3.786206876500477e-06
11,3.7862066862395623e-06
12,3.786206495979093e-06
13,0.02994711341645406
14,3.7829640219047424e-06
15,3.7829637992224276e-06
16,3.7829635765402745e-06
17,3.7829633538582667e-06
18,3.7829631311764533e-06
19,3.78296290849477e-06
20,3.7829626858132686e-06
21,3.782962463131898e-06
22,3.7829622404507243e-06
23,3.7829620177697118e-06
24,3.7829617950888246e-06
25,3.7829615724081026e-06
26,3.782961349727537e-06
27,3.782961127047194e-06
28,3.7829609043669377e-06
29,3.7829606816869005e-06
30,3.7829604590069455e-06
31,3.7829602363272344e-06
32,3.782960013647677e-06
33,3.782959790968239e-06
34,3.7829595682889622e-06
35,3.782959345609855e-06
36,3.782959122930919e-06
37,3.78295890025213e-06
38,3.7829586775735353e-06
39,3.7829584548950257e-06
40,3.782958232216754e-06
41,3.7829580095386127e-06
42,3.782957786860646e-06
43,3.782957564182809e-06
44,3.7829573415051245e-06
45,3.7829571188276237e-06
46,3.782956896150287e-06
47,3.7829566734731025e-06
48,3.7829564507960867e-06
49,3.782956228119222e-06
50,3.7829560054425133e-06
51,3.7829557827660205e-06
52,3.7829555600895934e-06
53,3.782955337413375e-06
54,3.782955114737333e-06
55,3.7829548920614343e-06
56,3.7829546693856806e-06
57,3.7829544467100844e-06
58,3.782954224034673e-06
59,0.0353994737573631
60,0.06025826937611851
61,3.782954001359416e-06
62,3.7829537786843063e-06
63,3.7829535560086314e-06
64,3.782953333332452e-06
65,3.7829531106556577e-06
66,3.782952887978387e-06
67,3.7829526653004965e-06
68,3.7829524426221064e-06
69,0.09834255349726234
70,3.7829522199431547e-06
71,3.7829519972636435e-06
72,3.7829517745889596e-06
73,3.7829515519190576e-06
74,3.7829513292540315e-06
75,3.7829511065937844e-06
76,3.7829508839383675e-06
77,3.7829506612877986e-06
78,3.782950438642006e-06
79,3.7829502160010603e-06
80,3.7829499933649317e-06
81,3.782949770733633e-06
82,3.782949548107135e-06
83,3.7829493254854773e-06
84,3.7829491028686313e-06
85,3.7829488802566244e-06
86,3.782948657649415e-06
87,3.782948435047033e-06
88,3.782948212449446e-06
89,3.7829479898567185e-06
90,3.7829477672688288e-06
91,3.782947544685749e-06
92,3.782947322107455e-06
93,3.78294709953403e-06
94,3.7829468769653965e-06
95,3.782946654401603e-06
96,3.7829464318426197e-06
97,3.7829462092884643e-06
98,3.7829459867391387e-06
99,3.782945764194625e-06
100,3.7829455416549345e-06
101,3.78294531912008e-06
102,3.7829450965900257e-06
103,3.7829448740648177e-06
104,3.782944651544406e-06
105,3.782944429028844e-06
106,3.7829442065180922e-06
107,3.782943984012157e-06
108,3.78294376151107e-06
109,3.7829435390147887e-06
110,3.782943316523328e-06
111,3.782943094036705e-06
112,3.782942871554898e-06
113,3.782942649077931e-06
114,3.7829424266057664e-06
115,3.7829422041384293e-06
116,3.782941981675911e-06
117,3.782941759218245e-06
118,3.7829415367653524e-06
119,3.7829413143173582e-06
120,3.7829410918741354e-06
121,3.7829408694357507e-06
122,3.7829406470021743e-06
123,3.7829404245734433e-06
124,3.782940202149569e-06
125,3.782939979730472e-06
126,3.7829397573162113e-06
127,3.782939534906783e-06
128,3.782939312502171e-06
129,3.7829390901023736e-06
130,3.7829388677074274e-06
131,3.7829386453172906e-06
132,3.7829384229319904e-06
133,3.7829382005515047e-06
134,3.7829379781758637e-06
135,3.7829377558050316e-06
136,3.7829375334390493e-06
137,3.7829373110778666e-06
138,3.7829370887215163e-06
139,3.7829368663700182e-06
140,3.782936644023297e-06
141,3.7829364216814246e-06
142,3.782936199344394e-06
143,3.7829359770121937e-06
144,3.7829357546848013e-06
145,3.782935532361601e-06
146,3.7829353100425378e-06
147,3.7829350877276027e-06
148,3.7829348654168566e-06
149,3.7829346431102843e-06
150,3.7829344208078633e-06
151,3.782934198509612e-06
152,3.7829339762155104e-06
153,3.7829337539255226e-06
154,3.782933531639767e-06
155,3.7829333093581656e-06
156,3.7829330870806774e-06
157,3.7829328648073723e-06
158,3.782932642538238e-06
159,3.782932420273256e-06
160,3.7829321980124217e-06
161,3.7829319757557464e-06
162,3.7829317535032516e-06
163,3.7829315312549e-06
164,3.7829313090106987e-06
165,3.782931086770688e-06
166,3.782930864534838e-06
167,3.7829306423031296e-06
168,3.782930420075571e-06
169,0.04061192080359544
170,3.779500065276174e-06
171,3.7794991705822248e-06
172,3.779498275889648e-06
173,3.779497381198407e-06
174,3.7794964865084935e-06
175,3.7794955918198997e-06
176,3.7794946971327048e-06
177,3.779493802446826e-06
178,3.779492907762296e-06
179,3.779492013079084e-06
180,3.779491118397218e-06
