,Weight
1,4.1871667830048245e-06
2,4.187166597670145e-06
3,4.18716641234319e-06
4,4.187166227023941e-06
5,4.1871660417124405e-06
6,4.187165856408662e-06
7,4.18716567111261e-06
8,4.187165485824281e-06
9,4.187165300543679e-06
10,4.187165115270806e-06
11,4.187164930005666e-06
12,4.187164744748215e-06
13,0.040181343617396836
14,4.205688756184748e-06
15,4.205687798234499e-06
16,4.205686840287215e-06
17,4.205685882342847e-06
18,4.205684924401439e-06
19,4.205683966462923e-06
20,4.205683008527378e-06
21,4.205682050594762e-06
22,4.2056810926650825e-06
23,4.205680134738334e-06
24,4.205679176814528e-06
25,4.20567821889366e-06
26,4.205677260975716e-06
27,4.205676303060728e-06
28,4.205675345148667e-06
29,4.205674387239517e-06
30,4.205673429333337e-06
31,4.205672471430098e-06
32,4.205671513529782e-06
33,4.205670555632441e-06
34,4.205669597737982e-06
35,4.20566863984648e-06
36,4.2056676819579055e-06
37,4.205666724072274e-06
38,4.205665766189632e-06
39,4.205664808309849e-06
40,4.205663850433049e-06
41,4.205662892559172e-06
42,4.205661934688215e-06
43,4.2056609768202186e-06
44,4.205660018955148e-06
45,4.205659061093025e-06
46,4.2056581032338476e-06
47,4.205657145377615e-06
48,4.205656187524291e-06
49,0.09347363537226978
50,4.205655229673903e-06
51,4.205654706729555e-06
52,4.205654183791796e-06
53,4.205653660860705e-06
54,4.205653137936259e-06
55,4.205652615018504e-06
56,4.205652092107353e-06
57,4.2056515692028875e-06
58,4.205651046305031e-06
59,4.205650523413854e-06
60,0.10411058088369056
61,4.205650000529323e-06
62,4.205649477651452e-06
63,4.205648954780233e-06
64,4.205648431915637e-06
65,4.205647909057699e-06
66,4.205647386206417e-06
67,4.205646863361761e-06
68,4.2056463405238035e-06
69,0.1349606371354728
70,4.205645817692457e-06
71,4.205645294867768e-06
72,4.205644772047665e-06
73,4.205644249232119e-06
74,4.205643726421136e-06
75,4.205643203614745e-06
76,4.205642680812933e-06
77,4.20564215801569e-06
78,4.205641635222982e-06
79,4.205641112434911e-06
80,4.205640589651374e-06
81,4.205640066872399e-06
82,4.205639544098025e-06
83,4.205639021328223e-06
84,4.2056384985629505e-06
85,4.205637975802269e-06
86,4.205637453046174e-06
87,4.205636930294622e-06
88,4.2056364075476835e-06
89,4.2056358848052735e-06
90,4.205635362067467e-06
91,4.205634839334216e-06
92,4.205634316605523e-06
93,4.205633793881399e-06
94,4.205633271161861e-06
95,4.205632748446896e-06
96,4.205632225736473e-06
97,4.205631703030653e-06
98,4.205631180329354e-06
99,4.205630657632664e-06
100,4.205630134940516e-06
101,4.205629612252976e-06
102,4.205629089569951e-06
103,4.205628566891516e-06
104,4.205628044217658e-06
105,4.20562752154833e-06
106,4.20562699888362e-06
107,4.205626476223451e-06
108,4.20562595356784e-06
109,4.205625430916772e-06
110,4.205624908270343e-06
111,4.205624385628395e-06
112,4.205623862991056e-06
113,4.20562334035829e-06
114,4.205622817730067e-06
115,4.20562229510639e-06
116,4.205621772487321e-06
117,4.205621249872771e-06
118,4.205620727262851e-06
119,0.017300215651064838
120,4.205620204657436e-06
121,4.20561968205661e-06
122,4.2056191594603325e-06
123,4.2056186368686385e-06
124,4.2056181142814905e-06
125,4.205617591698881e-06
126,4.205617069120875e-06
