,Weight
1,2.3973671382557435e-06
2,2.3973668146448104e-06
3,2.3973664910414405e-06
4,2.397366167445658e-06
5,2.3973658438574497e-06
6,2.397365520276812e-06
7,2.3973651967037498e-06
8,2.3973648731382693e-06
9,2.397364549580364e-06
10,2.3973642260300372e-06
11,2.3973639024872704e-06
12,2.3973635789521027e-06
13,2.397363255424503e-06
14,2.397362931904498e-06
15,2.3973626083920433e-06
16,2.3973622848871744e-06
17,2.3973619613898944e-06
18,2.397361637900171e-06
19,2.397361314418043e-06
20,2.3973609909434997e-06
21,2.3973606674765105e-06
22,2.397360344017122e-06
23,2.397360020565316e-06
24,2.3973596971210697e-06
25,2.397359373684413e-06
26,2.3973590502553385e-06
27,2.397358726833828e-06
28,2.3973584034199103e-06
29,0.056949422485325855
30,2.3973580800135573e-06
31,2.397357491341826e-06
32,2.397356902672333e-06
33,2.3973563140051443e-06
34,2.3973557253402132e-06
35,2.3973551366775726e-06
36,2.3973545480171782e-06
37,2.3973539593590802e-06
38,2.397353370703256e-06
39,2.397352782049699e-06
40,2.397352193398415e-06
41,2.3973516047494187e-06
42,2.3973510161026882e-06
43,2.397350427458234e-06
44,2.3973498388160625e-06
45,2.397349250176153e-06
46,2.397348661538523e-06
47,2.3973480729031732e-06
48,2.3973474842701038e-06
49,2.3973468956392993e-06
50,2.397346307010773e-06
51,2.39734571838452e-06
52,2.3973451297605513e-06
53,2.397344541138851e-06
54,2.3973439525194337e-06
55,2.397343363902286e-06
56,2.3973427752874006e-06
57,2.397342186674825e-06
58,2.3973415980644946e-06
59,2.3973410094564626e-06
60,2.3973404208506807e-06
61,2.397339832247202e-06
62,2.3973392436459783e-06
63,2.397338655047045e-06
64,2.397338066450388e-06
65,2.397337477856001e-06
66,2.3973368892638887e-06
67,2.397336300674056e-06
68,2.3973357120865044e-06
69,0.024947566939749016
70,2.39733512350122e-06
71,2.39733468501497e-06
72,2.3973342465335188e-06
73,2.397333808056916e-06
74,2.397333369585109e-06
75,2.397332931118123e-06
76,2.3973324926559538e-06
77,2.397332054198617e-06
78,2.3973316157461025e-06
79,2.397331177298384e-06
80,2.3973307388555065e-06
81,2.3973303004174383e-06
82,2.3973298619841834e-06
83,2.3973294235557684e-06
84,2.3973289851321608e-06
85,2.3973285467133812e-06
86,2.397328108299413e-06
87,2.3973276698902763e-06
88,2.3973272314859455e-06
89,2.39732679308643e-06
90,2.3973263546917604e-06
91,2.3973259163018934e-06
92,2.3973254779168495e-06
93,2.3973250395366455e-06
94,2.3973246011612375e-06
95,2.3973241627906524e-06
96,2.3973237244249064e-06
97,2.397323286063979e-06
98,2.397322847707859e-06
99,2.3973224093565697e-06
100,2.397321971010085e-06
101,2.397321532668449e-06
102,2.3973210943316206e-06
103,2.3973206559996115e-06
104,2.3973202176724225e-06
105,0.20891695680125172
106,2.450320393862011e-06
107,2.4503194950190084e-06
108,2.4503185961750006e-06
109,2.45031769732998e-06
110,2.450316798483937e-06
111,2.450315899636905e-06
112,2.4503150007888298e-06
113,2.4503141019397596e-06
114,2.4503132030896968e-06
115,2.4503123042386115e-06
116,2.450311405386505e-06
117,2.4503105065334015e-06
118,2.4503096076792974e-06
119,2.450308708824165e-06
120,2.4503078099680205e-06
121,2.4503069111108743e-06
122,2.4503060122527193e-06
123,2.4503051133935437e-06
124,2.450304214533384e-06
125,2.4503033156722e-06
126,2.4503024168100036e-06
127,2.4503015179467986e-06
128,2.4503006190825936e-06
129,2.4502997202173655e-06
130,2.4502988213511196e-06
131,2.450297922483902e-06
132,2.4502970236156205e-06
133,2.4502961247463737e-06
134,2.450295225876104e-06
135,2.4502943270048166e-06
136,2.4502934281325415e-06
137,2.4502925292592424e-06
138,2.4502916303849388e-06
139,2.4502907315096203e-06
140,2.4502898326333003e-06
141,2.450288933755969e-06
142,0.08315452255695911
143,2.4207998798507292e-06
144,2.42079894546708e-06
145,2.4207980110840463e-06
146,2.4207970767016175e-06
147,2.420796142319812e-06
148,2.4207952079386233e-06
149,2.4207942735580296e-06
150,2.4207933391780894e-06
151,2.420792404798719e-06
152,2.420791470419994e-06
153,2.4207905360418745e-06
154,2.4207896016643606e-06
155,2.420788667287473e-06
156,0.13566147252979122
157,2.426682703738212e-06
158,2.4266816127970125e-06
159,2.4266805218537867e-06
160,2.4266794309085734e-06
161,2.4266783399613746e-06
162,2.426677249012165e-06
163,2.426676158060966e-06
164,2.4266750671077645e-06
165,2.426673976152577e-06
166,2.4266728851953933e-06
167,2.4266717942362027e-06
168,2.426670703275016e-06
169,0.009077414169939528
170,2.4266696123118503e-06
171,2.4266689010441183e-06
172,2.426668189779069e-06
173,2.4266674785166083e-06
174,2.426666767256804e-06
175,2.426666055999621e-06
176,2.4266653447450757e-06
177,2.426664633493164e-06
178,2.426663922243869e-06
179,2.4266632109972218e-06
180,2.426662499753188e-06
181,2.426661788511799e-06
182,2.426661077273053e-06
183,2.4266603660369078e-06
184,2.4266596548034205e-06
185,2.42665894357255e-06
186,2.4266582323443313e-06
187,2.4266575211187345e-06
188,2.4266568098957716e-06
189,2.4266560986754264e-06
190,2.426655387457728e-06
191,2.4266546762426473e-06
192,2.426653965030227e-06
193,2.4266532538204235e-06
194,2.426652542613248e-06
195,2.4266518314087123e-06
196,2.4266511202068053e-06
197,2.426650409007542e-06
198,2.4266496978109108e-06
199,2.4266489866169045e-06
200,2.426648275425533e-06
201,2.4672267743619645e-06
202,2.3975216482050545e-06
203,2.3975209943562803e-06
204,2.3975203405119857e-06
205,2.397519686672143e-06
206,2.3975190328368033e-06
207,2.3975183790059074e-06
208,2.397517725179493e-06
209,2.3975170713575636e-06
210,2.3975164175400975e-06
211,2.3975157637271215e-06
212,2.397515109918581e-06
213,2.397514456114541e-06
214,2.3975138023149813e-06
215,2.3975131485198844e-06
216,2.397512494729254e-06
217,2.3975118409431048e-06
218,2.3975111871614313e-06
219,2.397510533384238e-06
220,2.397509879611508e-06
221,2.3975092258432613e-06
222,2.3975085720794865e-06
223,2.397507918320184e-06
224,2.3975072645653577e-06
225,2.397506610815007e-06
226,2.3975059570691363e-06
227,2.397505303327724e-06
228,2.3975046495908044e-06
229,2.3975039958583554e-06
230,2.3975033421304007e-06
231,2.3975026884068824e-06
232,2.3975020346878694e-06
233,2.397501380973329e-06
234,2.397500727263276e-06
235,2.397500073557668e-06
236,2.39749941985656e-06
237,2.3974987661599273e-06
238,2.397498112467759e-06
239,2.3974974587800905e-06
240,2.397496805096881e-06
241,2.397496151418154e-06
242,2.3974954977439003e-06
243,2.3974948440741394e-06
244,2.397494190408837e-06
245,2.397493536748027e-06
246,2.3974928830916867e-06
247,2.397492229439841e-06
248,2.3974915757924666e-06
249,2.397490922146985e-06
250,2.3974902685034097e-06
251,2.397489614861744e-06
252,0.20155215204433663
253,2.3974889612219565e-06
254,2.397488307584111e-06
255,2.397487653952932e-06
256,2.3974870003284287e-06
257,2.3974863467106134e-06
258,2.397485693099488e-06
259,2.3974850394950395e-06
260,2.397484385897288e-06
261,2.397483732306202e-06
262,2.3974830787218056e-06
263,2.3974824251441006e-06
264,2.3974817715730804e-06
265,2.3974811180087382e-06
266,2.3974804644510893e-06
267,2.3974798109001086e-06
268,2.3974791573558402e-06
269,2.397478503818228e-06
270,2.3974778502873185e-06
271,2.397477196763117e-06
272,2.3974765432455676e-06
273,2.3974758897347236e-06
274,2.3974752362305584e-06
275,2.397474582733064e-06
276,2.3974739292422846e-06
277,2.397473275758166e-06
278,2.3974726222807587e-06
279,2.3974719688100272e-06
280,2.3974713153459847e-06
281,2.3974706618886342e-06
282,2.397470008437966e-06
283,2.3974693549939935e-06
284,2.397468701556695e-06
285,2.397468048126091e-06
286,2.3974673947021903e-06
287,2.3974667412849434e-06
288,2.397466087874423e-06
289,2.3974654344705726e-06
290,2.39746478107342e-06
291,2.397464370119217e-06
292,2.3974639591738537e-06
293,2.3974635482373427e-06
294,2.397463137309649e-06
295,2.3974627263908066e-06
296,2.3974623154807963e-06
297,2.3974619045796304e-06
298,2.3974614936872875e-06
299,2.3974610828037944e-06
300,2.397460671929135e-06
301,2.3974602610633247e-06
302,2.3974598502063315e-06
303,2.397459439358193e-06
304,2.3974590285188906e-06
305,2.3974586176884214e-06
306,2.3974582068667927e-06
307,2.397457796054009e-06
308,2.3974573852500782e-06
309,2.3974569744549743e-06
310,2.3974565636687135e-06
311,2.3974561528912876e-06
312,2.3974557421227004e-06
313,2.397455331362957e-06
314,2.3974549206120616e-06
315,2.3974545098699955e-06
316,2.397454099136787e-06
317,2.3974536884124005e-06
318,2.397453277696859e-06
319,2.397452866990184e-06
320,2.3974524562923244e-06
321,2.3974520456033195e-06
322,2.3974516349231575e-06
323,2.3974512242518276e-06
324,2.397450813589344e-06
325,2.3974504029357205e-06
326,2.3974499922909124e-06
327,2.397449581654958e-06
328,2.3974491710278588e-06
329,2.397448760409592e-06
330,2.3974483498001735e-06
331,2.3974479391995983e-06
332,2.397447528607877e-06
333,2.3974471180249817e-06
334,2.3974467074509356e-06
335,2.397446296885736e-06
336,2.397445886329391e-06
337,2.3974454757818936e-06
338,2.3974450652432314e-06
339,2.397444654713413e-06
340,2.397444244192452e-06
341,2.397443833680318e-06
342,2.3974434231770458e-06
343,2.3974430126826127e-06
344,2.3974426021970345e-06
345,2.397442191720291e-06
346,2.397441781252403e-06
347,2.3974413707933654e-06
348,2.3974409603431564e-06
349,2.3974405499018293e-06
350,2.3974401394693305e-06
351,2.3974397290456806e-06
352,2.397439318630874e-06
353,2.3974389082249218e-06
354,2.397438497827817e-06
355,2.3974380874395465e-06
356,2.397437677060151e-06
357,2.3974372666896034e-06
