,Weight
1,4.891847159197181e-06
2,4.891847077641212e-06
3,4.891846996091404e-06
4,4.891846914547774e-06
5,4.891846833010323e-06
6,4.891846751479041e-06
7,4.891846669953962e-06
8,4.89184658843503e-06
9,4.891846506922305e-06
10,4.891846425415726e-06
11,4.891846343915298e-06
12,4.891846262421102e-06
13,4.891846180933037e-06
14,4.8918460994511754e-06
15,4.891846017975503e-06
16,4.891845936505981e-06
17,4.8918458550426256e-06
18,4.891845773585474e-06
19,4.891845692134444e-06
20,4.891845610689652e-06
21,4.891845529251012e-06
22,4.891845447818583e-06
23,4.891845366392304e-06
24,4.891845284972183e-06
25,4.891845203558256e-06
26,4.89184512215051e-06
27,4.891845040748915e-06
28,4.891844959353525e-06
29,4.891844877964274e-06
30,4.891844796581237e-06
31,4.891844715204353e-06
32,4.891844633833687e-06
33,4.8918445524691505e-06
34,4.891844471110824e-06
35,4.891844389758646e-06
36,4.891844308412672e-06
37,4.89184422707285e-06
38,4.891844145739221e-06
39,4.891844064411802e-06
40,4.891843983090489e-06
41,4.89184390177539e-06
42,4.891843820466482e-06
43,4.8918437391637245e-06
44,4.891843657867158e-06
45,4.891843576576784e-06
46,4.891843495292572e-06
47,4.891843414014554e-06
48,4.891843332742661e-06
49,4.891843251477005e-06
50,4.8918431702174825e-06
51,4.891843088964169e-06
52,4.891843007717021e-06
53,4.891842926476069e-06
54,4.891842845241248e-06
55,4.891842764012649e-06
56,4.891842682790214e-06
57,4.891842601573958e-06
58,4.8918425203638875e-06
59,0.04028344803195831
60,4.891842439160008e-06
61,4.891842357962286e-06
62,4.8918422767707584e-06
63,4.8918421955853686e-06
64,4.891842114406202e-06
65,4.891842033233179e-06
66,4.891841952066377e-06
67,4.891841870905721e-06
68,4.8918417897512185e-06
69,0.12058488105001505
70,4.875158458179826e-06
71,4.875158210205239e-06
72,4.875157962235139e-06
73,4.875157714269523e-06
74,4.875157466308471e-06
75,4.8751572183518795e-06
76,4.8751569703998155e-06
77,4.875156722452273e-06
78,4.875156474509232e-06
79,4.875156226570706e-06
80,4.875155978636696e-06
81,4.875155730707179e-06
82,4.87515548278219e-06
83,4.875155234861708e-06
84,4.875154986945732e-06
85,4.875154739034237e-06
86,4.875154491127318e-06
87,4.875154243224864e-06
88,4.875153995326932e-06
89,4.875153747433533e-06
90,4.875153499544632e-06
91,4.875153251660226e-06
92,4.8751530037803454e-06
93,4.875152755904964e-06
94,0.03483090596409285
95,4.817207606915375e-06
96,4.817206859078057e-06
97,4.8172061112410385e-06
98,4.817205363404305e-06
99,4.817204615567906e-06
100,4.817203867731797e-06
101,4.817203119896009e-06
102,4.817202372060514e-06
103,4.817201624225312e-06
104,4.817200876390458e-06
105,4.817200128555867e-06
106,4.817199380721633e-06
107,4.817198632887665e-06
108,4.817197885054002e-06
109,4.817197137220664e-06
110,4.8171963893876105e-06
111,4.817195641554886e-06
112,4.817194893722453e-06
113,4.8171941458903685e-06
114,4.817193398058547e-06
115,4.8171926502270375e-06
116,4.81719190239587e-06
117,4.817191154564968e-06
118,4.817190406734365e-06
119,4.81718965890409e-06
120,4.817188911074125e-06
121,4.8171881632444365e-06
122,4.817187415415092e-06
123,4.817186667586056e-06
124,4.817185919757295e-06
125,4.817185171928845e-06
126,4.817184424100722e-06
127,4.817183676272898e-06
128,4.817182928445369e-06
129,4.817182180618158e-06
130,4.817181432791269e-06
131,4.8171806849646655e-06
132,4.817179937138382e-06
133,4.817179189312379e-06
134,4.817178441486696e-06
135,4.817177693661333e-06
136,4.817176945836263e-06
137,4.817176198011497e-06
138,4.817175450187035e-06
139,4.817174702362907e-06
140,4.817173954539063e-06
141,4.817173206715496e-06
142,4.817172458892264e-06
143,4.817171711069355e-06
144,4.817170963246749e-06
145,4.817170215424456e-06
146,0.09352176248890337
147,4.869969884407816e-06
148,4.8699696645902626e-06
149,4.869969444778323e-06
150,4.869969224971947e-06
151,4.869969005171182e-06
152,4.869968785376026e-06
153,4.86996856558641e-06
154,4.869968345802427e-06
155,4.869968126024011e-06
156,4.869967906251139e-06
157,4.869967686483897e-06
158,4.869967466722239e-06
159,4.869967246966168e-06
160,4.8699670272156545e-06
161,4.8699668074707686e-06
162,4.869966587731458e-06
163,4.869966367997713e-06
164,4.869966148269534e-06
165,4.86996592854701e-06
166,4.86996570883001e-06
167,4.869965489118652e-06
168,4.869965269412864e-06
169,4.869965049712642e-06
170,4.8699648300179915e-06
171,4.869964610328981e-06
172,4.869964390645507e-06
173,4.869964170967649e-06
174,4.869963951295365e-06
175,4.869963731628664e-06
176,4.869963511967568e-06
177,4.869963292312045e-06
178,4.869963072662114e-06
179,4.86996285301775e-06
180,4.8699626333789865e-06
181,4.869962413745834e-06
182,4.869962194118271e-06
183,4.869961974496244e-06
184,4.869961754879792e-06
185,4.8699615352690065e-06
186,4.869961315663737e-06
187,4.869961096064102e-06
188,4.869960876470026e-06
189,4.869960656881534e-06
