,Weight
1,2.45228602255907e-06
2,2.4522847660634053e-06
3,2.4522835095603564e-06
4,2.452282253049918e-06
5,2.4522809965320937e-06
6,2.4522797400069075e-06
7,2.4522784834743204e-06
8,2.452277226934344e-06
9,2.4522759703870044e-06
10,2.452274713832267e-06
11,2.4522734572701374e-06
12,2.4522722007006336e-06
13,2.582901977976516e-06
14,2.4238795709306173e-06
15,2.4238781922841947e-06
16,2.423876813629658e-06
17,2.4238754349670146e-06
18,2.423874056296275e-06
19,2.4238726776174325e-06
20,2.4238712989304463e-06
21,2.423869920235381e-06
22,2.4238685415321924e-06
23,2.4238671628209086e-06
24,2.423865784101489e-06
25,2.4238644053739665e-06
26,2.423863026638316e-06
27,0.1376664876239465
28,2.4238616478945745e-06
29,2.4238598769231413e-06
30,2.4238581059378774e-06
31,2.4238563349387865e-06
32,2.4238545639258733e-06
33,2.4238527928991234e-06
34,2.423851021858541e-06
35,2.4238492508041364e-06
36,2.4238474797359085e-06
37,2.4238457086538465e-06
38,2.42384393755794e-06
39,2.4238421664482357e-06
40,2.4238403953246716e-06
41,2.4238386241872963e-06
42,2.423836853036054e-06
43,2.4238350818710193e-06
44,2.4238333106921283e-06
45,2.423831539499415e-06
46,2.4238297682928375e-06
47,2.423827997072473e-06
48,2.423826225838248e-06
49,2.423824454590197e-06
50,2.423822683328289e-06
51,2.4238209120525567e-06
52,2.4238191407629945e-06
53,2.4238173694595994e-06
54,2.4238155981423532e-06
55,2.4238138268112818e-06
56,2.423812055466356e-06
57,2.423810284107604e-06
58,2.4238085127350043e-06
59,2.562209882463671e-06
60,2.4238049699483064e-06
61,2.4210206297084846e-06
62,2.4210192182212135e-06
63,2.4210178067263708e-06
64,2.4210163952239556e-06
65,2.421014983714015e-06
66,2.4210135721965086e-06
67,2.421012160671414e-06
68,2.4210107491387636e-06
69,0.11542887206934242
70,2.4602432710287023e-06
71,2.4602422232874505e-06
72,2.4602411755432994e-06
73,2.460240127796278e-06
74,2.4602390800463404e-06
75,2.46023803229353e-06
76,2.4602369845378385e-06
77,2.4602359367792475e-06
78,2.460234889017748e-06
79,2.4602338412533836e-06
80,2.4602327934861423e-06
81,2.4602317457159813e-06
82,2.460230697942922e-06
83,2.4602296501669887e-06
84,2.460228602388178e-06
85,2.4602275546064645e-06
86,2.460226506821851e-06
87,2.4602254590343534e-06
88,2.4602244112439543e-06
89,2.460223363450669e-06
90,2.4602223156544875e-06
91,2.4602212678554185e-06
92,2.46022022005346e-06
93,2.4602191722486125e-06
94,2.4602181244408576e-06
95,2.4602170766301983e-06
96,2.460216028816662e-06
97,2.619974567747245e-06
98,2.451254976632751e-06
99,2.451254142193572e-06
100,2.4512533077558747e-06
101,2.4512524733196114e-06
102,2.451251638884788e-06
103,2.4512508044514224e-06
104,2.4512499700195073e-06
105,2.4512491355890326e-06
106,2.451248301160004e-06
107,2.4512474667324175e-06
108,2.4512466323058095e-06
109,2.4512457978801836e-06
110,2.451244963455509e-06
111,2.4512441290318254e-06
112,2.4512432946090976e-06
113,2.4512424601873635e-06
114,2.451241625766589e-06
115,2.4512407913467856e-06
116,2.451239956927956e-06
117,2.451239122510086e-06
118,2.4512382880931955e-06
119,2.4512374536772835e-06
120,2.4512366192623328e-06
121,2.4512357848483625e-06
122,2.4512349504350665e-06
123,2.451234116022444e-06
