,Weight
1,5.193839037474267e-06
2,5.193838123802942e-06
3,5.19383721012394e-06
4,5.1938362964372576e-06
5,5.1938353827430046e-06
6,5.193834469041081e-06
7,5.193833555331494e-06
8,5.193832641614303e-06
9,5.193831727889431e-06
10,5.193830814156989e-06
11,5.193829900416921e-06
12,5.193828986669137e-06
13,5.1938280729137354e-06
14,5.193827159150705e-06
15,5.193826245380004e-06
16,5.193825331601706e-06
17,5.1938244178157445e-06
18,5.1938235040222e-06
19,5.193822590220906e-06
20,5.193821676412049e-06
21,5.1938207625955614e-06
22,5.193819848771396e-06
23,5.193818934939618e-06
24,5.193818021100179e-06
25,5.193817107253092e-06
26,5.193816193398378e-06
27,0.04073263837551976
28,5.218518628282486e-06
29,5.218518216170139e-06
30,5.218517804056152e-06
31,5.218517391940665e-06
32,5.218516979823538e-06
33,5.218516567704864e-06
34,5.2185161555845895e-06
35,5.2185157434628e-06
36,5.218515331339406e-06
37,5.218514919214415e-06
38,5.218514507087885e-06
39,5.218514094959775e-06
40,5.2185136828300656e-06
41,5.218513270698838e-06
42,5.218512858565978e-06
43,5.2185124464315494e-06
44,5.2185120342955666e-06
45,5.2185116221579895e-06
46,5.2185112100188845e-06
47,5.2185107978781565e-06
48,5.218510385735878e-06
49,5.259724516695858e-06
50,5.213410430760351e-06
51,5.213409712873345e-06
52,5.213408994981144e-06
53,5.213408277083833e-06
54,5.213407559181342e-06
55,5.213406841273769e-06
56,5.213406123360929e-06
57,5.213405405443014e-06
58,5.213404687519968e-06
59,5.218509973592008e-06
60,0.04746503024538453
61,5.211719914132558e-06
62,5.211719897299183e-06
63,5.211719880472807e-06
64,5.2117198636534785e-06
65,5.211719846841141e-06
66,5.211719830035784e-06
67,5.211719813237511e-06
68,5.211719796446191e-06
69,0.13263633625415472
70,5.211719779661888e-06
71,5.211719444663497e-06
72,5.21171910966568e-06
73,5.21171877466861e-06
74,5.211718439672097e-06
75,5.21171810467627e-06
76,5.21171776968115e-06
77,5.211717434686581e-06
78,5.211717099692712e-06
79,5.211716764699489e-06
80,5.211716429706889e-06
81,5.21171609471496e-06
82,5.211715759723667e-06
83,5.21171542473298e-06
84,5.211715089743017e-06
85,5.2117147547537055e-06
86,5.211714419764972e-06
87,5.211714084776921e-06
88,5.211713749789505e-06
89,5.211713414802795e-06
90,5.211713079816641e-06
91,5.211712744831195e-06
92,5.211712409846363e-06
93,5.211712074862216e-06
94,5.211711739878702e-06
95,5.2117114048958024e-06
96,5.211711069913617e-06
97,0.0536148507908827
98,5.2117107349320265e-06
99,5.2117100919236054e-06
100,5.211709448912653e-06
101,5.2117088058990874e-06
102,5.211708162882948e-06
103,5.2117075198642754e-06
104,5.211706876843036e-06
105,0.11611671475328324
106,5.237901009866444e-06
107,5.237896996941727e-06
108,0.012576037951599709
109,5.2378929840213175e-06
110,5.237889399955748e-06
111,5.237885815902754e-06
112,5.2378822318622015e-06
113,5.2378786478341805e-06
114,5.23787506381871e-06
115,5.237871479815757e-06
116,5.23786789582531e-06
117,5.237864311847378e-06
118,5.237860727881937e-06
119,0.01932398482603489
120,5.215042800414253e-06
121,5.2150424987539955e-06
122,5.215042197095047e-06
123,5.215041895437413e-06
