,Weight
1,4.533867133191496e-06
2,4.5338668093215135e-06
3,4.533866485451333e-06
4,4.53386616158085e-06
5,4.533865837710117e-06
6,4.5338655138391814e-06
7,4.5338651899679805e-06
8,4.533864866096522e-06
9,4.533864542224831e-06
10,4.533864218352887e-06
11,4.533863894480713e-06
12,4.533863570608286e-06
13,4.533863246735604e-06
14,4.533862922862687e-06
15,4.533862598989555e-06
16,4.533862275116119e-06
17,4.533861951242446e-06
18,4.533861627368568e-06
19,4.53386130349442e-06
20,4.5338609796200196e-06
21,4.5338606557453865e-06
22,4.533860331870512e-06
23,4.53386000799536e-06
24,4.533859684120009e-06
25,0.0058078576005187715
26,4.534336410832538e-06
27,0.011524474579488953
28,4.534336091727202e-06
29,4.534335772622874e-06
30,4.534335453519673e-06
31,4.534335134417537e-06
32,4.534334815316461e-06
33,4.534334496216462e-06
34,4.534334177117535e-06
35,4.534333858019658e-06
36,4.534333538922877e-06
37,4.5343332198271525e-06
38,4.534332900732509e-06
39,4.534332581638937e-06
40,4.534332262546428e-06
41,4.534331943455019e-06
42,4.534331624364645e-06
43,4.53433130527535e-06
44,4.534330986187164e-06
45,4.534330667100003e-06
46,4.534330348013966e-06
47,4.534330028928954e-06
48,4.534329709845029e-06
49,4.5343293907621815e-06
50,4.534329071680398e-06
51,4.53432875259971e-06
52,4.534328433520086e-06
53,4.53432811444147e-06
54,4.534327795364026e-06
55,4.534327476287564e-06
56,4.534327157212258e-06
57,4.534326838137972e-06
58,4.5343265190647625e-06
59,0.08109108663164788
60,0.06596620548478849
61,4.534326199992651e-06
62,0.03676797500535453
63,4.534325880921565e-06
64,4.534325561851626e-06
65,4.534325242783878e-06
66,4.534324923718388e-06
67,4.53432460465519e-06
68,4.5343242855942095e-06
69,0.08763025957541067
70,4.534323966535455e-06
71,4.534323647479015e-06
72,4.534323328424776e-06
73,4.534323009372831e-06
74,4.534322690323103e-06
75,4.534322371275666e-06
76,4.534322052230465e-06
77,4.534321733187519e-06
78,4.534321414146812e-06
79,4.534321095108353e-06
80,4.534320776072167e-06
81,4.5343204570382325e-06
82,4.534320138006543e-06
83,4.534319818977078e-06
84,4.534319499949926e-06
85,4.534319180924989e-06
86,4.534318861902293e-06
87,4.53431854288189e-06
88,4.534318223863712e-06
89,4.534317904847814e-06
90,4.534317585834174e-06
91,4.534317266822718e-06
92,4.53431694781358e-06
93,4.534316628806715e-06
94,4.534316309802048e-06
95,4.5343159907996505e-06
96,4.534315671799514e-06
97,4.534315352801613e-06
98,4.5343150338059965e-06
99,4.5343147148126194e-06
100,4.53431439582148e-06
101,4.534314076832608e-06
102,4.5343137578460095e-06
103,4.534313438861649e-06
104,4.534313119879531e-06
105,0.012416450260602209
106,4.534312800899655e-06
107,4.534312481922093e-06
108,0.00443066796054584
109,4.534312162946738e-06
110,4.534311843973657e-06
111,4.5343115250028e-06
112,4.5343112060342194e-06
113,4.534310887067872e-06
114,4.534310568103841e-06
115,4.534310249142015e-06
116,4.534309930182453e-06
117,4.534309611225144e-06
118,4.53430929227006e-06
119,4.534308973317282e-06
120,4.534308654366731e-06
121,4.53430833541847e-06
122,4.534308016472447e-06
123,4.5343076975286386e-06
124,4.534307378587115e-06
125,4.5343070596478805e-06
126,4.534306740710827e-06
127,4.534306421776077e-06
128,4.534306102843575e-06
129,4.534305783913337e-06
130,4.534305464985337e-06
131,4.534305146059601e-06
132,4.534304827136138e-06
