,Weight
1,3.2078049274222754e-06
2,3.20780459140197e-06
3,3.207804255383524e-06
4,3.2078039193669266e-06
5,3.2078035833522065e-06
6,3.2078032473393363e-06
7,3.2078029113283223e-06
8,3.207802575319182e-06
9,3.2078022393118964e-06
10,3.207801903306471e-06
11,3.2078015673029116e-06
12,3.2078012313011985e-06
13,3.2078008953013514e-06
14,3.2078005593033763e-06
15,3.2078002233091955e-06
16,3.2077998873124185e-06
17,3.2077995513130454e-06
18,3.2077992153110557e-06
19,3.2077988793064657e-06
20,3.20779854329929e-06
21,3.207798207289502e-06
22,3.2077978712771124e-06
23,3.207797535262125e-06
24,3.2077971992445313e-06
25,3.207796863224329e-06
26,3.2077965272015293e-06
27,3.2077961911761243e-06
28,3.207795855148112e-06
29,3.2077955191174898e-06
30,3.2077951830842785e-06
31,3.207794847048455e-06
32,3.2077945110100125e-06
33,3.2077941749689746e-06
34,3.2077938389253245e-06
35,3.207793502879071e-06
36,3.207793166830211e-06
37,3.2077928307787427e-06
38,3.207792494724664e-06
39,3.2077921586679725e-06
40,3.2077918226086755e-06
41,3.2077914865467825e-06
42,3.2077911504822687e-06
43,3.207790814415145e-06
44,3.2077904783454094e-06
45,3.207790142273063e-06
46,3.2077898061980987e-06
47,3.2077894701205456e-06
48,3.20778913404036e-06
49,3.207788797957559e-06
50,3.207788461872158e-06
51,3.2077881257841437e-06
52,3.20778778969351e-06
53,3.2077874536002682e-06
54,3.207787117504399e-06
55,3.2077867814059285e-06
56,3.207786445304832e-06
57,3.207786109201128e-06
58,3.2077857730948223e-06
59,0.16114525821672931
60,3.1835969027910757e-06
61,3.1835937790420356e-06
62,3.183590655273164e-06
63,3.183587531484478e-06
64,3.183584407675964e-06
65,3.1835812838476312e-06
66,3.183578159999488e-06
67,3.1835750361315078e-06
68,3.1835719122437084e-06
69,0.0319918327085482
70,3.175098077841131e-06
71,3.175095560793622e-06
72,3.175093043734253e-06
73,3.1750905266630274e-06
74,3.1750880095799642e-06
75,3.1750854924850147e-06
76,3.1750829753782257e-06
77,3.175080458259583e-06
78,3.175077941129062e-06
79,3.175075423986686e-06
80,3.17507290683245e-06
81,3.1750703896663595e-06
82,3.1750678724884274e-06
83,3.17506535529861e-06
84,3.1750628380969408e-06
85,3.1750603208834223e-06
86,3.175057803658011e-06
87,3.175055286420773e-06
88,3.175052769171657e-06
89,3.1750502519106802e-06
90,3.1750477346378415e-06
91,3.1750452173531447e-06
92,3.1750427000565708e-06
93,3.175040182748151e-06
94,3.175037665427859e-06
95,3.1750351480956945e-06
96,3.17503263075169e-06
97,3.1750301133957947e-06
98,3.1750275960280485e-06
