,Weight
1,5.502538466355313e-06
2,5.502536940780678e-06
3,5.50253541519732e-06
4,5.502533889605208e-06
5,5.502532364004442e-06
6,5.502530838394891e-06
7,5.502529312776621e-06
8,5.50252778714969e-06
9,5.502526261513995e-06
10,5.502524735869575e-06
11,5.502523210216405e-06
12,5.502521684554541e-06
13,5.502520158883967e-06
14,5.502518633204661e-06
15,5.502517107516594e-06
16,5.502515581819819e-06
17,5.502514056114319e-06
18,5.502512530400123e-06
19,5.502511004677202e-06
20,5.502509478945511e-06
21,5.5025079532051385e-06
22,5.502506427455997e-06
23,5.502504901698152e-06
24,5.502503375931598e-06
25,5.502501850156292e-06
26,5.502500324372238e-06
27,5.502498798579491e-06
28,5.5024972727779994e-06
29,5.502495746967807e-06
30,5.502494221148847e-06
31,5.502492695321183e-06
32,5.5024911694847865e-06
33,5.502489643639655e-06
34,5.502488117785825e-06
35,5.5024865919232486e-06
36,5.502485066051903e-06
37,5.502483540171874e-06
38,5.502482014283065e-06
39,5.502480488385608e-06
40,5.50247896247936e-06
41,5.5024774365643706e-06
42,5.502475910640673e-06
43,5.502474384708238e-06
44,5.502472858767069e-06
45,5.502471332817162e-06
46,5.502469806858544e-06
47,5.5024682808912315e-06
48,5.502466754915089e-06
49,5.5024652289302835e-06
50,5.502463702936735e-06
51,5.502462176934423e-06
52,5.5024606509234e-06
53,5.50245912490363e-06
54,5.502457598875171e-06
55,5.5024560728379165e-06
56,5.502454546791955e-06
57,5.5024530207372715e-06
58,5.502451494673813e-06
59,0.00573679038930505
60,5.502449968601641e-06
61,5.502448442520726e-06
62,5.502446916431107e-06
63,5.502445390332734e-06
64,5.502443864225594e-06
65,5.502442338109786e-06
66,5.5024408119851814e-06
67,5.502439285851873e-06
68,5.502437759709765e-06
69,0.23234397225862766
70,5.502436233559005e-06
71,5.5024347073994665e-06
72,5.502433181231213e-06
73,5.502431655054145e-06
74,5.502430128868442e-06
75,5.502428602673982e-06
76,5.502427076470687e-06
77,5.50242555025873e-06
78,5.502424024038043e-06
79,5.502422497808595e-06
80,5.502420971570423e-06
81,5.502419445323479e-06
82,5.502417919067794e-06
83,5.502416392803395e-06
84,5.502414866530258e-06
85,5.50241334024836e-06
86,5.502411813957706e-06
87,5.502410287658312e-06
88,5.502408761350223e-06
89,5.502407235033351e-06
90,5.502405708707755e-06
91,5.502404182373456e-06
92,5.5024026560303495e-06
93,5.502401129678494e-06
94,5.502399603317915e-06
95,5.502398076948621e-06
96,5.50239655057055e-06
97,5.5023950241837695e-06
98,5.502393497788207e-06
99,5.5023919713838845e-06
100,5.5023904449695974e-06
101,5.502388918545276e-06
102,5.502387392110934e-06
103,5.502385865666576e-06
104,5.502384339212231e-06
105,0.01772649936532495
106,5.482464819411351e-06
107,5.482463435869263e-06
108,5.4824620523196215e-06
109,5.482460668762521e-06
110,5.482459285197822e-06
111,5.482457901625644e-06
112,5.482456518045949e-06
113,5.482455134458728e-06
114,5.482453750863968e-06
115,5.482452367261693e-06
116,5.482450983651889e-06
117,5.482449600034557e-06
118,5.4824482164097046e-06
119,5.4824468327773855e-06
120,5.482445449137465e-06
121,5.4824440654900444e-06
122,5.482442681835096e-06
123,5.482441298172641e-06
124,5.48243991450266e-06
125,5.4824385308251295e-06
126,5.482437147140096e-06
127,5.4824357634475075e-06
128,5.482434379747459e-06
129,5.482432996039858e-06
130,5.482431612324685e-06
131,5.4824302286020085e-06
132,5.482428844871819e-06
133,5.482427461134115e-06
134,5.4824260773888735e-06
135,5.482424693636095e-06
136,5.4824233098758e-06
137,5.482421926107987e-06
138,5.4824205423326176e-06
139,5.482419158549761e-06
140,5.48241777475933e-06
141,5.48241639096142e-06
142,5.48241500715596e-06
143,5.48241362334296e-06
144,5.482412239522455e-06
145,5.4824108556944e-06
146,5.482409471858843e-06
147,5.482408088015735e-06
148,5.482406704165105e-06
149,5.482405320306951e-06
150,5.4824039364412865e-06
151,5.482402552568083e-06
152,5.482401168687329e-06
153,5.482399784799069e-06
154,5.482398400903272e-06
155,5.482397016999927e-06
156,5.482395633089071e-06
157,5.482394249170676e-06
158,5.482392865244765e-06
159,5.482391481311311e-06
160,5.482390097370345e-06
161,5.482388713421844e-06
162,5.482387329465774e-06
163,5.482385945502252e-06
164,5.482384561531151e-06
165,5.482383177552496e-06
166,5.482381793566333e-06
167,5.482380409572673e-06
168,5.482379025571449e-06
169,5.482377641562669e-06
170,5.482376257546375e-06
171,5.482374873522577e-06
172,5.482373489491222e-06
173,5.48237210545233e-06
174,5.482370721405886e-06
175,5.48236933735198e-06
176,5.482367953290474e-06
177,5.4823665692214606e-06
178,5.482365185144929e-06
179,5.482363801060812e-06
180,5.482362416969228e-06
181,5.482361032870069e-06
182,5.482359648763392e-06
183,5.48235826464918e-06
184,5.482356880527432e-06
185,5.482355496398127e-06
186,0.005720043540178335
187,5.48235411226131e-06
188,0.003009899591726969
189,5.482021304464057e-06
190,5.482019286317965e-06
191,5.4820172681661275e-06
192,5.482015250008554e-06
193,5.482013231845262e-06
194,5.482011213676225e-06
195,5.482009195501441e-06
196,5.482007177320932e-06
197,5.482005159134677e-06
198,5.482003140942687e-06
199,5.482001122744998e-06
200,5.481999104541512e-06
201,5.4819970863323385e-06
202,5.481995068117398e-06
203,5.481993049896753e-06
204,5.48199103167031e-06
205,5.481989013438206e-06
