,Weight
1,4.097521195959039e-06
2,4.097520964079939e-06
3,4.0975207322113055e-06
4,4.097520500353155e-06
5,4.097520268505462e-06
6,4.097520036668244e-06
7,4.097519804841461e-06
8,4.097519573025233e-06
9,4.097519341219436e-06
10,4.097519109424129e-06
11,4.097518877639294e-06
12,4.097518645864928e-06
13,4.097518414101008e-06
14,4.09751818234761e-06
15,4.097517950604666e-06
16,4.0975177188721825e-06
17,4.097517487150201e-06
18,4.097517255438677e-06
19,4.09751702373762e-06
20,4.097516792047074e-06
21,4.097516560366944e-06
22,4.097516328697354e-06
23,4.097516097038211e-06
24,4.097515865389551e-06
25,4.097515633751357e-06
26,4.097515402123645e-06
27,4.097515170506382e-06
28,4.097514938899636e-06
29,4.0975147073033295e-06
30,4.097514475717514e-06
31,4.0975142441421835e-06
32,4.097514012577327e-06
33,4.097513781022917e-06
34,4.097513549478996e-06
35,4.097513317945585e-06
36,4.09751308642262e-06
37,4.09751285491015e-06
38,4.097512623408121e-06
39,4.097512391916602e-06
40,4.097512160435544e-06
41,4.097511928964967e-06
42,4.097511697504875e-06
43,4.097511466055243e-06
44,4.097511234616114e-06
45,4.097511003187434e-06
46,4.097510771769258e-06
47,4.0975105403615355e-06
48,4.097510308964288e-06
49,4.09751007757752e-06
50,4.097509846201235e-06
51,4.097509614835434e-06
52,4.0975093834801025e-06
53,4.097509152135234e-06
54,4.097508920800863e-06
55,4.0975086894769725e-06
56,4.097508458163572e-06
57,4.097508226860609e-06
58,4.0975079955681495e-06
59,4.097507764286172e-06
60,4.097507533014637e-06
61,4.097507301753615e-06
62,4.097507070503051e-06
63,4.0975068392630055e-06
64,4.097506608033402e-06
65,4.097506376814252e-06
66,4.097506145605632e-06
67,4.097505914407465e-06
68,4.0975056832197895e-06
69,0.038177496936919006
70,4.0975054520425795e-06
71,4.097505220875864e-06
72,4.0975049897196124e-06
73,4.0975047585738486e-06
74,4.097504527438527e-06
75,4.097504296313734e-06
76,4.097504065199411e-06
77,4.097503834095574e-06
78,4.097503603002185e-06
79,4.097503371919279e-06
80,4.097503140846861e-06
81,4.097502909784945e-06
82,4.09750267873349e-06
83,4.097502447692484e-06
84,4.097502216661998e-06
85,4.0975019856419545e-06
86,4.097501754632439e-06
87,4.097501523633382e-06
88,4.097501292644809e-06
89,4.097501061666708e-06
90,4.0975008306990825e-06
91,4.097500599741969e-06
92,4.0975003687952985e-06
93,4.0975001378591024e-06
94,4.097499906933423e-06
95,4.097499676018217e-06
96,4.097499445113438e-06
97,4.097499214219199e-06
98,4.097498983335399e-06
99,4.097498752462138e-06
100,4.09749852159931e-06
101,4.0974982907469896e-06
102,4.097498059905113e-06
103,4.097497829073751e-06
104,4.09749759825286e-06
105,4.0974973674424625e-06
106,4.0974971366425075e-06
107,4.097496905853061e-06
108,9.321266733978229e-06
109,4.097496675074095e-06
110,4.097496444305605e-06
111,4.097496213547609e-06
112,4.09749598280007e-06
113,4.097495752063028e-06
114,4.097495521336478e-06
115,4.097495290620407e-06
116,4.097495059914801e-06
117,4.097494829219704e-06
118,4.097494598535042e-06
119,4.097494367860907e-06
120,4.097494137197209e-06
121,4.097493906543023e-06
122,4.097493675894934e-06
123,4.097493445252921e-06
124,4.097493214616987e-06
125,4.0974929839871345e-06
126,4.097492753363401e-06
127,4.097492522745714e-06
128,4.09749229213413e-06
129,4.0974920615286596e-06
130,4.097491830929233e-06
131,4.097491600335905e-06
132,4.097491369748686e-06
133,4.097491139167557e-06
134,4.097490908592461e-06
135,4.097490678023499e-06
136,4.097490447460634e-06
137,4.097490216903813e-06
138,4.097489986353121e-06
139,4.097489755808496e-06
140,4.0974895252699724e-06
141,4.097489294737537e-06
142,4.097489064211159e-06
143,4.097488833690918e-06
144,4.0974886031767135e-06
145,4.097488372672029e-06
146,4.097488142173417e-06
147,4.0974879116809036e-06
148,4.097487681194456e-06
149,4.097487450714124e-06
150,4.097487220239884e-06
151,4.097486989771723e-06
152,4.097486759309656e-06
153,4.097486528853665e-06
154,4.0974862984037546e-06
155,4.097486067959955e-06
156,4.097485837522258e-06
157,4.097485607090621e-06
158,4.097485376665088e-06
159,0.02298622547711264
160,4.097485146245647e-06
161,4.097484437923308e-06
162,4.097483729631161e-06
163,4.097483021369232e-06
164,4.097482313137527e-06
165,4.097481604935975e-06
166,0.13626847907435527
167,4.097480896764671e-06
168,4.097479959589324e-06
169,0.050838293443360286
170,4.097479022445704e-06
171,4.097478390717536e-06
172,4.0974777590255555e-06
173,4.09747712736973e-06
174,4.097476495750062e-06
175,4.097475864166525e-06
176,4.097475232619197e-06
177,4.097474601107991e-06
178,4.0974739696329564e-06
179,4.097473338194078e-06
180,4.097472706791367e-06
181,4.0974720754248046e-06
182,4.097471444094414e-06
183,4.097470812800179e-06
184,4.097470181542137e-06
185,4.0974695503202285e-06
186,4.097468919134447e-06
187,4.0974682879849265e-06
188,4.0974676568714975e-06
189,4.097467025794275e-06
190,4.097466394753193e-06
191,4.0974657637483025e-06
192,4.097465132779582e-06
193,4.097464501846995e-06
194,4.09746387095062e-06
195,4.097463240090378e-06
196,4.097462609266346e-06
197,4.097461978478464e-06
198,4.097461347726738e-06
199,4.097460717011203e-06
200,4.097460086331868e-06
201,4.097459455688668e-06
202,4.097458825081669e-06
203,4.097458194510839e-06
204,4.097457563976177e-06
205,4.097456933477699e-06
206,4.0974563030153725e-06
207,4.097455672589256e-06
208,4.0974550421993275e-06
209,4.0974544118455405e-06
210,4.097453781527975e-06
211,4.097453151246548e-06
212,4.09745252100133e-06
213,4.0974518907923095e-06
214,4.097451260619411e-06
215,4.097450630482764e-06
216,4.0974500003822686e-06
217,4.097449370317949e-06
218,4.097448740289827e-06
219,4.097448110297919e-06
220,4.097447480342164e-06
221,4.0974468504225875e-06
222,4.097446220539213e-06
223,4.097445590692037e-06
224,4.09744496088102e-06
225,4.097444331106232e-06
226,4.097443701367594e-06
227,4.097443071665182e-06
228,4.09744244199895e-06
229,4.0974418123689095e-06
230,4.097441182775054e-06
231,4.09744055321739e-06
232,4.09743992369594e-06
233,4.097439294210689e-06
234,4.097438664761607e-06
235,4.097438035348722e-06
236,0.0359342981185749
237,4.097437405972032e-06
238,4.097436432929543e-06
239,4.0974354599184725e-06
240,4.097434486938886e-06
241,4.097433513990714e-06
242,4.097432541074048e-06
243,4.097431568188816e-06
244,4.09743059533504e-06
245,4.097429622512685e-06
246,4.097428649721803e-06
247,4.097427676962388e-06
248,4.097426704234402e-06
249,4.097425731537924e-06
250,4.097424758872896e-06
251,4.097423786239303e-06
252,0.13183874766798215
253,4.0974228136371445e-06
254,4.0974218410664725e-06
255,4.097420868527271e-06
256,4.097419896019503e-06
257,4.097418923543219e-06
258,0.03554924319777482
259,4.0974179510984e-06
260,4.0974178221720345e-06
261,0.012130126587490261
262,4.097417693250642e-06
263,4.0974175643342186e-06
264,0.04497885343820058
265,4.110308084916093e-06
266,4.110307732065174e-06
267,4.110307379217897e-06
268,4.110307026374326e-06
269,4.1103066735344e-06
270,4.110306320698127e-06
271,4.110305967865533e-06
272,4.110305615036583e-06
273,4.110305262211337e-06
274,4.110304909389742e-06
275,4.110304556571829e-06
276,4.110304203757547e-06
277,4.1103038509469545e-06
278,4.110303498140054e-06
279,4.110303145336771e-06
280,4.110302792537212e-06
281,4.110302439741258e-06
282,4.110302086949005e-06
283,4.110301734160413e-06
284,4.110301381375476e-06
285,4.1103010285942124e-06
286,4.110300675816573e-06
287,4.110300323042655e-06
288,4.110299970272383e-06
289,0.004747178580783344
290,4.110294655568114e-06
291,4.110294302755571e-06
292,4.110293949946638e-06
293,4.110293597141408e-06
294,4.110293244339834e-06
295,4.110292891541867e-06
296,4.110292538747628e-06
297,4.110292185957033e-06
298,4.110291833170077e-06
299,4.1102914803867864e-06
300,4.110291127607167e-06
301,4.110290774831226e-06
302,4.110290422058907e-06
303,4.110290069290276e-06
304,4.1102897165252585e-06
305,4.1102893637639305e-06
306,4.110289011006273e-06
307,4.110288658252278e-06
308,4.110288305501915e-06
309,4.110287952755232e-06
310,4.1102876000121754e-06
311,4.1102872472728e-06
312,4.1102868945370565e-06
313,4.110286541804996e-06
314,4.1102861890765794e-06
315,4.110285836351852e-06
316,4.110285483630723e-06
317,4.110285130913283e-06
318,4.110284778199502e-06
319,4.110284425489375e-06
320,0.08561764074663082
321,4.110284072782876e-06
322,4.110283720080035e-06
323,4.110283367382085e-06
324,4.110283014688958e-06
325,4.110282662000715e-06
326,4.110282309317321e-06
327,4.110281956638785e-06
328,4.110281603965097e-06
329,4.110281251296271e-06
330,4.110280898632325e-06
331,4.110280545973223e-06
332,4.110280193318983e-06
333,4.110279840669581e-06
334,4.110279488025072e-06
335,4.110279135385385e-06
336,4.1102787827505616e-06
337,4.110278430120611e-06
338,4.110278077495452e-06
339,4.110277724875223e-06
340,4.110277372259821e-06
341,4.1102770196492914e-06
342,4.110276667043589e-06
343,4.110276314442767e-06
344,4.110275961846761e-06
345,4.110275609255646e-06
346,4.110275256669388e-06
347,4.110274904087957e-06
348,4.1102745515113995e-06
349,4.110274198939661e-06
350,4.110273846372788e-06
351,4.110273493810791e-06
352,4.110273141253631e-06
353,4.110272788701333e-06
354,4.110272436153859e-06
355,4.110272083611257e-06
356,4.110271731073512e-06
357,4.11027137854061e-06
358,0.014676416631185065
359,4.09755608645846e-06
360,4.097555853040165e-06
361,4.097555619630375e-06
362,4.09755538622907e-06
363,0.23217783359322816
364,4.0975551528362505e-06
365,4.097554919451938e-06
